snr_db,decoder,ber,fer,avg_iters,avg_hw_time_us,avg_hw_cycles,avg_hw_time_stage1_us,avg_hw_time_grand_us,ber_stage1,fer_stage1
9.0,ldpc15,0.023782788172291826,0.08379888268156424,5.423882681564246,9.450840607541899,7560.67248603352,9.450840607541899,0.0,0.023782788172291826,0.08379888268156424
9.0,hybairsafe15,0.023782788172291826,0.08379888268156424,5.423882681564246,19.233763966480446,15387.011173184357,9.450840607541899,9.782923358938548,0.023782788172291826,0.08379888268156424
9.5,ldpc15,0.014972537352243902,0.056100981767180924,5.005610098176718,8.71350105189341,6970.800841514727,8.71350105189341,0.0,0.014972537352243902,0.056100981767180924
9.5,hybairsafe15,0.014967692388638406,0.05471956224350205,5.020519835841314,16.970558025535794,13576.446420428636,8.73938269493844,8.231175330597354,0.01497039059190485,0.0560875512995896
10.0,ldpc15,0.013296729283157923,0.0500208420175073,4.779074614422676,8.317739162150895,6654.191329720717,8.317739162150895,0.0,0.013296729283157923,0.0500208420175073
10.0,hybairsafe15,0.013358972308676451,0.0498960498960499,4.781704781704781,34.56226819126819,27649.814553014552,8.322422557172557,26.239845634095637,0.013360663804450787,0.050311850311850315
10.5,ldpc15,0.009642257335411042,0.03640776699029126,4.580400485436893,7.96732895934466,6373.863167475728,7.96732895934466,0.0,0.009642257335411042,0.03640776699029126
10.5,hybairsafe15,0.009642257335411042,0.03640776699029126,4.580400485436893,31.012178398058253,24809.742718446603,7.96732895934466,23.04484943871359,0.009642257335411042,0.03640776699029126
11.0,ldpc15,0.00831090454427095,0.030349013657056147,4.38745574102175,7.6298975720789075,6103.918057663126,7.6298975720789075,0.0,0.00831090454427095,0.030349013657056147
11.0,hybairsafe15,0.008339662058889967,0.029747149231531978,4.389935547843332,26.573583292017847,21258.866633614278,7.634359506693109,18.93922378532474,0.008342274835495917,0.030738720872583045
11.5,ldpc15,0.005933041936602197,0.023913909924272617,4.189119170984456,7.282953616978876,5826.362893583101,7.282953616978876,0.0,0.005933041936602197,0.023913909924272617
11.5,hybairsafe15,0.00595624286434578,0.023506366307541625,4.190989226248775,21.291721106758082,17033.376885406466,7.286194172380019,14.00552693437806,0.005956713745081108,0.023898139079333986
12.0,ldpc15,0.005139437201086581,0.018706157443491817,4.041932969602494,7.025311964146532,5620.249571317226,7.025311964146532,0.0,0.005139437201086581,0.018706157443491817
12.0,hybairsafe15,0.005235236892643196,0.018590240123934933,4.046940356312936,19.203789891556934,15363.031913245546,7.0341460108443075,12.169643880712627,0.005236239509760335,0.01905499612703331
