snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,probe_invocation_rate,probe_success_rate_if_invoked,probe_escalation_rate_if_invoked,probe_syndrome_drop_mean_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_15
9.0,ldpc15,1432,0.023782788172291826,0.08379888268156424,0.023782788172291826,0.08379888268156424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairsafe15,1432,0.023782788172291826,0.08379888268156424,0.023782788172291826,0.08379888268156424,0.08379888268156424,0.0,0.0,1534.8333333333333,2128.4,1586.6916666666666,2079.05,5315.283333333334,5408.0,899.575,1144.15,0.0108920088231874,0.03147321436554192,1.0,nan,0.0,0.0,1.0,0.016666666666666666,0.10833333333333334,0.19964624854231564,1.0,probe_moe_roi_fix,0.0,0.8916666666666667,0.10833333333333334,0.0,0.0,1.0,0.10833333333333334,0.7437733615438143,-0.022075518601438186,0.0,0.8916666666666667,0.10833333333333334,0.0,0.0,1.0,0.10833333333333334,0.7437733615438143,-0.022075518601438186,0.025
9.5,ldpc15,2139,0.014972537352243902,0.056100981767180924,0.014972537352243902,0.056100981767180924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairsafe15,2193,0.014967692388638406,0.05471956224350205,0.01497039059190485,0.0560875512995896,0.0560875512995896,0.024390243902439025,0.024390243902439025,1443.4552845528456,2136.8,1491.918699186992,2054.2,5240.886178861789,5408.0,850.349593495935,1150.8,0.012601315441382368,0.04856337122619147,1.0,15.0,0.0,0.0,1.0,0.024390243902439025,0.15447154471544716,0.19950494975063618,1.0,probe_moe_roi_fix,0.0,0.8455284552845529,0.15447154471544716,0.0,0.0,1.0,0.15447154471544716,0.743740742284108,-0.02480674940407488,0.0,0.8455284552845529,0.15447154471544716,0.0,0.0,1.0,0.15447154471544716,0.743740742284108,-0.02480674940407488,0.032520325203252036
10.0,ldpc15,2399,0.013296729283157923,0.0500208420175073,0.013296729283157923,0.0500208420175073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairsafe15,2405,0.013358972308676451,0.0498960498960499,0.013360663804450787,0.050311850311850315,0.050311850311850315,0.008264462809917356,0.008264462809917356,1436.1322314049587,2142.0,1503.396694214876,2061.0,5326.719008264463,5408.0,856.3884297520661,1148.0,0.010828133199117646,0.0317460335791111,1.0,15.0,0.0,0.0,1.0,0.0,0.7768595041322314,0.19840668315791393,1.0,probe_moe_roi_fix,0.0,0.2231404958677686,0.7768595041322314,0.0,0.0,1.0,0.7768595041322314,0.7443643202466413,-0.0348283327083596,0.0,0.2231404958677686,0.7768595041322314,0.0,0.0,1.0,0.7768595041322314,0.7443643202466413,-0.0348283327083596,0.024793388429752067
10.5,ldpc15,3296,0.009642257335411042,0.03640776699029126,0.009642257335411042,0.03640776699029126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairsafe15,3296,0.009642257335411042,0.03640776699029126,0.009642257335411042,0.03640776699029126,0.03640776699029126,0.0,0.0,1432.2583333333334,2101.6,1522.4083333333333,2080.3,5274.075,5408.0,843.3916666666667,1134.2,0.012701598810963333,0.03886404428631065,1.0,nan,0.0,0.0,1.0,0.008333333333333333,0.9583333333333334,0.18615564167654763,1.0,probe_moe_roi_fix,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,1.0,0.9583333333333334,0.7444003249208132,-0.035142858868736464,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,1.0,0.9583333333333334,0.7444003249208132,-0.035142858868736464,0.03333333333333333
11.0,ldpc15,3954,0.00831090454427095,0.030349013657056147,0.00831090454427095,0.030349013657056147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairsafe15,4034,0.008339662058889967,0.029747149231531978,0.008342274835495917,0.030738720872583045,0.030738720872583045,0.03225806451612903,0.03225806451612903,1467.6935483870968,2139.5,1541.233870967742,2073.25,5177.2661290322585,5408.0,866.4596774193549,1154.8,0.023634099916014218,0.08237179741263385,1.0,15.0,0.0,0.0,1.0,0.03225806451612903,0.9435483870967742,0.19644629751001635,1.0,probe_moe_roi_fix,0.0,0.056451612903225805,0.9435483870967742,0.0,0.0,1.0,0.9435483870967742,0.744291070968874,-0.01883472509742264,0.0,0.056451612903225805,0.9435483870967742,0.0,0.0,1.0,0.9435483870967742,0.744291070968874,-0.01883472509742264,0.07258064516129033
