snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,gate_positive_rate_given_failed,avg_gate_prob_given_failed,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_info_round_success_rate_given_invoked,grand_parity_round_success_rate_given_invoked,grand_block_direct_success_rate_given_invoked,grand_prefix_exact_success_rate_given_invoked,grand_global_exact_success_rate_given_invoked,avg_solver_candidates_per_invoked,avg_candidate_pool_per_invoked,avg_max_free_dim_per_invoked,avg_info_pool_per_invoked,avg_tx_parity_pool_per_invoked,avg_punctured_info_pool_per_invoked,avg_block_patterns_tested_per_invoked,avg_prefixes_kept_per_invoked,avg_selected_blocks_per_invoked,avg_top_block_prob_per_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7.5,1047,0.0111917606853,0.130850047755,0.0111908279608,0.114613180516,4.76886341929,0.130850047755,0.130850047755,1,1,0.124087591241,0.00729927007299,0.116788321168,0.021897810219,0.0729927007299,0,0.124087591241,0,49,385.905109489,0,16.7153284672,3.06569343066,15.6496350365,48,6,0.270072992701,0.896022059078,3809.54646093,82702.233439,86511.7798999
8,1373,0.0094540923161,0.111434814275,0.00945195853059,0.0873998543336,4.69992716679,0.111434814275,0.111434814275,1,1,0.21568627451,0.00653594771242,0.209150326797,0.0457516339869,0.130718954248,0.00653594771242,0.202614379085,0.00653594771242,49,354.241830065,0,16.0849673203,3.47058823529,16,48,6,0.490196078431,0.863803355815,3665.37053759,69028.2270223,72693.5975599
8.5,1826,0.00640702012596,0.0815991237678,0.00640702012596,0.065717415115,4.40909090909,0.0815991237678,0.0815991237678,1,1,0.194630872483,0,0.194630872483,0.0536912751678,0.0872483221477,0.0134228187919,0.174496644295,0.00671140939597,48.9932885906,362.395973154,0,15.2953020134,3.44295302013,14.3087248322,48,6,0.409395973154,0.884643678297,3629.70380105,54621.4042531,58251.1080542
9,2481,0.00395899460903,0.0580411124547,0.00395860099254,0.0483675937122,4.16082224909,0.0580411124547,0.0580411124547,1,1,0.166666666667,0.00694444444444,0.159722222222,0.0486111111111,0.0486111111111,0.0277777777778,0.138888888889,0,48.9722222222,368.277777778,0,17.0486111111,3.47916666667,13.7430555556,48,6,0.375,0.880210283833,3615.19888224,36994.9731793,40610.1720616
9.5,2789,0.00337717651936,0.0519899605593,0.00337682637146,0.043026174256,4.03226963069,0.0519899605593,0.0519899605593,1,1,0.172413793103,0.00689655172414,0.165517241379,0.0551724137931,0.103448275862,0.00689655172414,0.165517241379,0,48.9931034483,367.889655172,0,15.924137931,3.66206896552,12.3379310345,48,6,0.4,0.884160003888,3630.48473684,31320.1944975,34950.6792343
