snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_candidate_pool_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_zero_synd_candidates_per_invoked,avg_predicted_error_mass_per_invoked,avg_block_score_peak_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_first_success_cost_given_rescue,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7,621,0.0195139517915,0.161030595813,0.0195139517915,0.161030595813,4.79710144928,0.161030595813,0.161030595813,0,0,0,200000,96,96,198510.56,0,28.268655296,1.14473291546,0,0,0,71266.3166153,476955.800368,148070.793325
7.5,761,0.0167555539586,0.137976346912,0.0167555539586,0.131406044678,4.54139290407,0.137976346912,0.137976346912,0.047619047619,0,0.047619047619,190476.238095,96,96,189069.87619,0.047619047619,26.7538116471,1.10147328405,1,1,0.0400053188205,73546.246776,456755.085496,136567.644906
8,910,0.0123755151099,0.110989010989,0.0123755151099,0.10989010989,4.4010989011,0.110989010989,0.110989010989,0.00990099009901,0,0.00990099009901,198019.811881,96,96,196964.80198,0.00990099009901,27.6810037423,1.18247165981,1,1,0.0400053188205,57435.2058599,480499.170241,110765.333546
8.5,957,0.00847986873041,0.105538140021,0.00847986873041,0.104493207941,4.29885057471,0.105538140021,0.105538140021,0.00990099009901,0,0.00990099009901,198019.831683,96,96,195656.613861,0.00990099009901,21.0700078877,1.04938843581,2,2,0.080010637641,50364.4152248,461523.878238,99072.7869093
9,1191,0.00929907247061,0.0864819479429,0.00929907247061,0.0839630562552,4.11922753988,0.0864819479429,0.0864819479429,0.0291262135922,0,0.0291262135922,194174.805825,96,96,192740.009709,0.0291262135922,25.6191408846,1.10250859237,1.33333333333,1.33333333333,0.053340425094,40738.5798071,452950.287997,79910.6030344
