snr_db,decoder,ber,fer,avg_iters,avg_hw_time_us,avg_hw_cycles,avg_hw_time_stage1_us,avg_hw_time_grand_us,ber_stage1,fer_stage1
9.0,ldpc15,0.022411154410588798,0.09538950715421304,6.598569157392687,11.49504073926868,9196.032591414943,11.49504073926868,0.0,0.022411154410588798,0.09538950715421304
9.0,hybairtgsub15,0.022411154410588798,0.09538950715421304,6.598569157392687,21.628656597774242,17302.925278219394,11.49504073926868,10.133615858505564,0.022411154410588798,0.09538950715421304
9.5,ldpc15,0.016874258489594604,0.07566204287515763,6.310214375788147,10.986469104665826,8789.17528373266,10.986469104665826,0.0,0.016874258489594604,0.07566204287515763
9.5,hybairtgsub15,0.016827847633136096,0.075,6.30125,67.62586171875,54100.689375,10.970889843750001,56.654971875,0.016831661427514792,0.075625
10.0,ldpc15,0.0143828416063993,0.06172839506172839,5.978395061728395,10.404756944444443,8323.805555555555,10.404756944444443,0.0,0.0143828416063993,0.06172839506172839
10.0,hybairtgsub15,0.013910951172364945,0.059850374064837904,5.973067331670823,90.26436034912719,72211.48827930175,10.395353491271822,79.86900685785537,0.014111171774705248,0.06134663341645885
10.5,ldpc15,0.011822542714649987,0.04962779156327544,5.570306038047973,9.691357009925559,7753.085607940447,9.691357009925559,0.0,0.011822542714649987,0.04962779156327544
10.5,hybairtgsub15,0.011822542714649987,0.04962779156327544,5.570306038047973,74.77341294458229,59818.73035566584,9.691357009925559,65.08205593465674,0.011822542714649987,0.04962779156327544
11.0,ldpc15,0.006276234642982369,0.03402324922030054,5.315282109441451,9.242310391267367,7393.848313013893,9.242310391267367,0.0,0.006276234642982369,0.03402324922030054
11.0,hybairtgsub15,0.006481768385928489,0.03320420586607637,5.328168234643055,54.45817065578307,43566.536524626456,9.265021444382956,45.19314921140011,0.006498397094795716,0.034864416159380185
11.5,ldpc15,0.006220703244637191,0.031055900621118012,5.194875776397516,9.032064246894409,7225.651397515528,9.032064246894409,0.0,0.006220703244637191,0.031055900621118012
11.5,hybairtgsub15,0.006018682321309444,0.029347028613352897,5.1951577402787965,49.17703656150648,39341.62924920519,9.032456896551725,40.14457966495476,0.006104965190198555,0.030814380044020543
12.0,ldpc15,0.004178772045678007,0.02119018188239449,4.945788451350874,8.595627759138265,6876.502207310613,8.595627759138265,0.0,0.004178772045678007,0.02119018188239449
12.0,hybairtgsub15,0.004125637013612264,0.02025658338960162,4.937879810938555,36.52569273295071,29220.55418636057,8.581928173531397,27.94376455941931,0.004142461314720183,0.021269412559081703
12.5,ldpc15,0.0034568886001408055,0.019857686579513485,4.829720337580672,8.39356983286447,6714.855866291577,8.39356983286447,0.0,0.0034568886001408055,0.019857686579513485
12.5,hybairtgsub15,0.0035253874744758493,0.019588638589618023,4.839046686255306,34.174209312765264,27339.36745021221,8.409982247796277,25.764227064968985,0.003531605514955172,0.02040483186418544
13.0,ldpc15,0.0031245805833335295,0.01591723040191007,4.6752884998010344,8.123856446478314,6499.085157182651,8.123856446478314,0.0,0.0031245805833335295,0.01591723040191007
13.0,hybairtgsub15,0.00310956045616768,0.015717092337917484,4.6779305828421744,11.528985428945646,9223.188343156517,8.12841601178782,3.4005694171578256,0.0031293715100576217,0.01584806810740013
