snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_candidate_pool_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_queue_dropped_per_invoked,avg_zero_synd_candidates_per_invoked,avg_predicted_error_mass_per_invoked,avg_block_score_peak_per_invoked,avg_max_free_dim_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_first_success_cost_given_rescue,grand_cap_hit_rate_given_invoked,r1_info_success_rate_given_invoked,r2_mixed_success_rate_given_invoked,r3_prefix_direct_success_rate_given_invoked,r3_prefix_exact_success_rate_given_invoked,r4_global_success_rate_given_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
6.5,773,0.0247475844922,0.130659767141,0.0247463211514,0.12936610608,5.87580853816,0.130659767141,0.130659767141,0.00990099009901,0.00990099009901,0,0.00990099009901,136.297029703,136.297029703,0,0,0.00990099009901,828.554594436,1.25972462645,0,8,1,4.93453858008,0,0.00990099009901,0,0,0,0,18536.2261893,295357.781792,57127.6051815
7,802,0.0252079761534,0.124688279302,0.0252079761534,0.124688279302,5.69077306733,0.124688279302,0.124688279302,0,0,0,0,136.97,136.97,0,0,0,843.547025757,1.26871335834,0,0,0,0,0,0,0,0,0,0,17345.6507873,303183.531333,55149.0836218
7.5,1017,0.0201429218904,0.0983284169125,0.0201429218904,0.0983284169125,5.2261553589,0.0983284169125,0.0983284169125,0,0,0,0,137.01,137.01,0,0,0,844.207695923,1.26734104961,0,0,0,0,0,0,0,0,0,0,22554.7211707,320927.127907,54110.977602
8,1231,0.0156702185723,0.0812347684809,0.0156702185723,0.0812347684809,4.87652315191,0.0812347684809,0.0812347684809,0,0,0,0,136.58,136.58,0,0,0,834.581481934,1.24740733147,0,0,0,0,0,0,0,0,0,0,24326.3351519,315139.494913,49926.6190604
8.5,1498,0.0128087449933,0.068090787717,0.0128080930824,0.0667556742323,4.60547396529,0.068090787717,0.068090787717,0.0196078431373,0.00980392156863,0.00980392156863,0.00980392156863,136.774509804,136.774509804,0,0,0.0196078431373,826.878444298,1.26047697722,0,15,0.5,9.34509042706,0,0,0,0.00980392156863,0.00980392156863,0,12801.7345366,271468.190481,31286.2174666
