snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,gate_positive_rate_given_failed,avg_gate_prob_given_failed,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_info_round_success_rate_given_invoked,grand_parity_round_success_rate_given_invoked,grand_block_direct_success_rate_given_invoked,grand_prefix_exact_success_rate_given_invoked,grand_global_exact_success_rate_given_invoked,avg_solver_candidates_per_invoked,avg_candidate_pool_per_invoked,avg_max_free_dim_per_invoked,avg_info_pool_per_invoked,avg_tx_parity_pool_per_invoked,avg_punctured_info_pool_per_invoked,avg_block_patterns_tested_per_invoked,avg_prefixes_kept_per_invoked,avg_selected_blocks_per_invoked,avg_top_block_prob_per_invoked,avg_snapshots_tried_per_invoked,avg_first_snapshot_iter_given_invoked,avg_success_snapshot_iter_given_rescue,grand_first_snapshot_success_rate_given_invoked,grand_second_snapshot_success_rate_given_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7,671,0.0226312173994,0.201192250373,0.0226312173994,0.178837555887,4.97615499255,0.201192250373,0.201192250373,1,1,0.111111111111,0,0.111111111111,0,0.0814814814815,0.00740740740741,0.103703703704,0,137.362962963,1149.73333333,0,41.8592592593,5.6,45.2888888889,135.451851852,15.3481481481,0.311111111111,1.86094891716,1.91851851852,4.91851851852,8,0.0814814814815,0.0296296296296,23373.1382263,492003.207082,515376.345308
7.5,1095,0.0149231235731,0.134246575342,0.0149222317352,0.109589041096,4.63196347032,0.134246575342,0.134246575342,1,1,0.183673469388,0.00680272108844,0.176870748299,0.00680272108844,0.149659863946,0.0204081632653,0.163265306122,0,133.006802721,1064.68707483,0,38.4285714286,4.65306122449,42.768707483,131.176870748,14.8027210884,0.47619047619,1.76948905153,1.85034013605,5.27210884354,7.77777777778,0.149659863946,0.0340136054422,3853.38705901,244787.83931,248641.226369
8,1036,0.0155590160473,0.137065637066,0.0155590160473,0.11583011583,4.44401544402,0.137065637066,0.137065637066,1,1,0.154929577465,0,0.154929577465,0,0.12676056338,0.0211267605634,0.119718309859,0.0140845070423,134.176056338,1099.04929577,0,38.5563380282,4.5985915493,42.6830985915,132.316901408,14.9295774648,0.380281690141,1.78481038167,1.8661971831,5.2676056338,7.86363636364,0.133802816901,0.0211267605634,3697.70214145,245376.471518,249074.17366
8.5,1268,0.0126229174882,0.11119873817,0.0126206070091,0.0946372239748,4.35883280757,0.11119873817,0.11119873817,1,1,0.148936170213,0.0141843971631,0.13475177305,0.00709219858156,0.106382978723,0.0212765957447,0.113475177305,0.0141843971631,134.709219858,1106.19858156,0,38.2553191489,5.29078014184,43.2340425532,132.843971631,14.9787234043,0.340425531915,1.8096041301,1.87234042553,5.24113475177,7.85714285714,0.127659574468,0.0212765957447,3695.82397273,197496.026425,201191.850397
9,1766,0.00781581787939,0.0804077010193,0.00781526489949,0.0679501698754,4.15062287656,0.0804077010193,0.0804077010193,1,1,0.154929577465,0.00704225352113,0.147887323944,0.00704225352113,0.112676056338,0.0281690140845,0.12676056338,0,134.11971831,1097.68309859,0,40.6338028169,4.44366197183,41.9225352113,132.274647887,14.985915493,0.415492957746,1.80844158312,1.87323943662,5.20422535211,8,0.12676056338,0.0281690140845,3760.56865461,141923.555463,145684.124118
