snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,probe_invocation_rate,probe_success_rate_if_invoked,probe_escalation_rate_if_invoked,probe_syndrome_drop_mean_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_4,snapshot_success_at_8
7.5,ldpc15,829,0.044105011741529324,0.14475271411338964,0.044105011741529324,0.14475271411338964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.5,hybairtrap8,580,0.049712431136502755,0.20689655172413793,0.04985876606814936,0.21551724137931033,0.21551724137931033,0.04,0.04,1251.112,2163.8,1264.584,2008.2,5129.76,5408.0,745.536,1186.8,0.020385162599384783,0.08939394205808637,1.28,4.8,0.0,0.0,1.0,0.0,0.088,0.23382705995440484,1.0,probe_moe_roi_fix,0.0,0.912,0.088,0.0,0.0,1.28,0.088,0.7464999952316285,-0.030563397387508302,0.0,0.912,0.088,0.0,0.0,1.28,0.088,0.7464999952316285,-0.030563397387508302,0.032,0.008
8.0,ldpc15,885,0.03901000401163374,0.13559322033898305,0.03901000401163374,0.13559322033898305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,hybairtrap8,690,0.04222810007718034,0.17391304347826086,0.04250064316953949,0.19710144927536233,0.19710144927536233,0.11764705882352941,0.11764705882352941,1166.1176470588234,2136.75,1195.8455882352941,2018.5,5044.64705882353,5408.0,708.3897058823529,1151.5,0.03247815542101093,0.10277777910232544,1.25,5.25,0.0,0.0,1.0,0.007352941176470588,0.13970588235294118,0.24069161398117156,1.0,probe_moe_roi_fix,0.0,0.8676470588235294,0.1323529411764706,0.0,0.0,1.25,0.13970588235294118,0.7453693230362499,-0.031405088249705254,0.0,0.8676470588235294,0.1323529411764706,0.0,0.0,1.25,0.13970588235294118,0.7453693230362499,-0.031405088249705254,0.08088235294117647,0.03676470588235294
8.5,ldpc15,1127,0.031668716496117355,0.1064773735581189,0.031668716496117355,0.1064773735581189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.5,hybairtrap8,776,0.03728749504361618,0.15463917525773196,0.03749027786250229,0.16752577319587628,0.16752577319587628,0.07692307692307693,0.07692307692307693,1210.246153846154,2106.4,1226.0692307692307,2013.5,4975.0,5408.0,728.7846153846153,1161.85,0.04319896985991643,0.1111111119389534,1.1923076923076923,5.2,0.0,0.0,1.0,0.0,0.1076923076923077,0.24682765763539535,1.0,probe_moe_roi_fix,0.0,0.8923076923076924,0.1076923076923077,0.0,0.0,1.1923076923076923,0.1076923076923077,0.745982479590636,-0.033482410261282125,0.0,0.8923076923076924,0.1076923076923077,0.0,0.0,1.1923076923076923,0.1076923076923077,0.745982479590636,-0.033482410261282125,0.05384615384615385,0.023076923076923078
9.0,ldpc15,1432,0.023782788172291826,0.08379888268156424,0.023782788172291826,0.08379888268156424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairtrap8,970,0.027964870676508265,0.12371134020618557,0.02806018575001525,0.1463917525773196,0.1463917525773196,0.15492957746478872,0.15492957746478872,1036.5985915492959,2096.0,1081.6830985915492,1984.75,4944.112676056338,5408.0,637.5704225352113,1139.8,0.041754068711667626,0.1428571492433548,1.1267605633802817,4.7272727272727275,0.0,0.0,1.0,0.014084507042253521,0.14788732394366197,0.2754216596326778,1.0,probe_moe_roi_fix,0.0,0.8591549295774648,0.14084507042253522,0.0,0.0,1.1267605633802817,0.14788732394366197,0.7464652791829176,-0.0284627833474152,0.0,0.8591549295774648,0.14084507042253522,0.0,0.0,1.1267605633802817,0.14788732394366197,0.7464652791829176,-0.0284627833474152,0.1267605633802817,0.028169014084507043
9.5,ldpc15,2139,0.014972537352243902,0.056100981767180924,0.014972537352243902,0.056100981767180924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairtrap8,1187,0.019890810456473732,0.10109519797809605,0.02008693788228491,0.11120471777590564,0.11120471777590564,0.09090909090909091,0.09090909090909091,976.8484848484849,2094.45,1010.689393939394,1946.3999999999999,4987.507575757576,5407.0,616.9242424242424,1122.0,0.027559660706725535,0.0833333358168602,1.128787878787879,5.333333333333333,0.0,0.0,1.0,0.0,0.10606060606060606,0.27997853149744595,1.0,probe_moe_roi_fix,0.0,0.8939393939393939,0.10606060606060606,0.0,0.0,1.128787878787879,0.10606060606060606,0.7468111880800941,-0.03758542630803828,0.0,0.8939393939393939,0.10606060606060606,0.0,0.0,1.128787878787879,0.10606060606060606,0.7468111880800941,-0.03758542630803828,0.06060606060606061,0.030303030303030304
