snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_phase1_success_rate_given_invoked,grand_phase2_success_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_phase1_patterns_per_failed_frame,avg_phase2_patterns_per_failed_frame,avg_info_pool_per_failed_frame,avg_tx_parity_pool_per_failed_frame,avg_punctured_info_pool_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
10,3615,0.00683755835062,0.0423236514523,0.00683755835062,0.0414937759336,5.04923928077,0.0423236514523,0.0196078431373,0,0.0196078431373,0,0.0196078431373,1024.75163399,842.522875817,182.22875817,14.4117647059,11.2222222222,8.22222222222,43.371230982,50980.5648113,2003.65470316,52984.2195145
10.5,4310,0.00534073194606,0.0352668213457,0.00534073194606,0.0348027842227,4.8222737819,0.0352668213457,0.0131578947368,0,0.0131578947368,0,0.0131578947368,990.322368421,812.907894737,177.414473684,13.9210526316,11.0263157895,7.80263157895,34.9255220418,8662.89908742,1594.63734172,10257.5364291
11,6194,0.00402481231837,0.0243784307394,0.00402465465572,0.0242169841782,4.57523409751,0.0243784307394,0.00662251655629,0.00662251655629,0,0.00662251655629,0,1040.03311258,856.57615894,183.456953642,14.4105960265,11.4569536424,8.09933774834,25.3543752018,33418.5406937,1141.94447109,34560.4851648
11.5,8008,0.0029633452485,0.018981018981,0.0029633452485,0.0187312687313,4.45854145854,0.018981018981,0.0131578947368,0,0.0131578947368,0,0.0131578947368,986.986842105,810.736842105,176.25,13.9605263158,11.0723684211,7.80263157895,18.734015984,26686.8386858,854.889359595,27541.7280454
12,10022,0.00223268574761,0.0150668529236,0.00223268574761,0.0149670724406,4.2696068649,0.0150668529236,0.00662251655629,0,0.00662251655629,0,0.00662251655629,998.761589404,821.754966887,177.006622517,14.0397350993,11.2516556291,7.60264900662,15.0481939733,4640.34374657,672.964563665,5313.30831023
