snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,gate_positive_rate_given_failed,avg_gate_prob_given_failed,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_info_round_success_rate_given_invoked,grand_parity_round_success_rate_given_invoked,grand_block_direct_success_rate_given_invoked,grand_prefix_exact_success_rate_given_invoked,grand_global_exact_success_rate_given_invoked,avg_solver_candidates_per_invoked,avg_candidate_pool_per_invoked,avg_max_free_dim_per_invoked,avg_info_pool_per_invoked,avg_tx_parity_pool_per_invoked,avg_punctured_info_pool_per_invoked,avg_block_patterns_tested_per_invoked,avg_prefixes_kept_per_invoked,avg_selected_blocks_per_invoked,avg_top_block_prob_per_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
8,2598,0.00749900765012,0.0477290223249,0.00749900765012,0.0461893764434,5.12817551963,0.0477290223249,0.0477290223249,1,1,0.0322580645161,0,0.0322580645161,0,0.0322580645161,0,0.0322580645161,0,49,419.879032258,0,12.7822580645,1.8064516129,27.3548387097,48,6,0.0806451612903,0.960059837949,54738.5557067,1199497.81019,1254236.36589
8.5,2947,0.00676005259586,0.0434340006787,0.00675972122073,0.0407193756362,4.82626399729,0.0434340006787,0.0434340006787,1,1,0.0625,0.0078125,0.0546875,0.015625,0.046875,0.0078125,0.0546875,0,48.9921875,408.6015625,0,13.3828125,2.203125,27.3515625,48,6,0.1640625,0.942224148894,3846.04887097,27461.7731011,31307.8219721
9,4820,0.00406306729772,0.0271784232365,0.00406286469139,0.0248962655602,4.50767634855,0.0271784232365,0.0271784232365,1,1,0.0839694656489,0.00763358778626,0.0763358778626,0.0152671755725,0.0610687022901,0,0.0839694656489,0,49,401.496183206,0,13.5419847328,1.93129770992,27.2671755725,48,6,0.221374045802,0.932569111349,4463.64465571,60963.2496177,65426.8942734
9.5,7004,0.00274145800614,0.0189891490577,0.00274117914763,0.017133066819,4.29683038264,0.0189891490577,0.0189891490577,1,1,0.0977443609023,0.015037593985,0.0827067669173,0.0225563909774,0.0601503759398,0.00751879699248,0.0902255639098,0,48.992481203,396.112781955,0,15.1278195489,2.21804511278,26.4436090226,48,6,0.195488721805,0.913650604679,4084.86179599,11873.1190532,15957.9808492
10,8766,0.00196003201289,0.0143737166324,0.00196003201289,0.0136892539357,4.04825462012,0.0143737166324,0.0143737166324,1,1,0.047619047619,0,0.047619047619,0.0238095238095,0.015873015873,0,0.047619047619,0,49,414.341269841,0,15.873015873,2.53968253968,24.2936507937,48,6,0.0952380952381,0.949848050163,3696.94873046,13546.1695789,17243.1183094
