snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,gate_positive_rate_given_failed,avg_gate_prob_given_failed,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_info_round_success_rate_given_invoked,grand_parity_round_success_rate_given_invoked,avg_solver_candidates_per_invoked,avg_candidate_pool_per_invoked,avg_max_free_dim_per_invoked,avg_info_pool_per_invoked,avg_tx_parity_pool_per_invoked,avg_punctured_info_pool_per_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
8,902,0.014988393847,0.136363636364,0.014988393847,0.133037694013,4.43015521064,0.136363636364,0.0177383592018,0.130081300813,0.454395947539,0.1875,0,0.1875,0,0.1875,0.1875,2.125,0,0,1.0625,0,9062.11633711,52.8460333667,9114.96237048
8.5,1138,0.0117393453427,0.109841827768,0.0117393453427,0.105448154657,4.35149384886,0.109841827768,0.0158172231986,0.144,0.471858733892,0.277777777778,0,0.277777777778,0,0.277777777778,0.277777777778,1.88888888889,0,0,0.944444444444,0,6231.22380571,58.5391536447,6289.76295935
9,1554,0.00724189591377,0.0778635778636,0.00724189591377,0.0772200772201,4.12805662806,0.0778635778636,0.0109395109395,0.140495867769,0.478595701254,0.0588235294118,0,0.0588235294118,0,0.0588235294118,0.0588235294118,2.23529411765,0,0,1.11764705882,0,7673.96705351,12.9681945229,7686.93524804
9.5,1846,0.00577314548348,0.066630552546,0.00577314548348,0.0650054171181,3.84344528711,0.066630552546,0.010292524377,0.154471544715,0.496468810168,0.157894736842,0,0.157894736842,0,0.157894736842,0.157894736842,2.42105263158,0,0,1.21052631579,0,5072.57170785,10.0351403642,5082.60684821
10,2237,0.00516875279392,0.0536432722396,0.00516875279392,0.0536432722396,3.79794367456,0.0536432722396,0.00625838176129,0.116666666667,0.489741019905,0,0,0,0,0,0,3.5,0,0.0714285714286,1.64285714286,0,3937.96116022,0.731826680356,3938.6929869
