snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_zero_synd_candidates_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7,908,0.0209143550385,0.113436123348,0.0209143550385,0.11013215859,5.95484581498,0.113436123348,0.113436123348,0.0291262135922,0,0.0291262135922,189984.601942,142,457.378640777,0.0291262135922,1.33333333333,1.33333333333,260244.784371,5190004.58634,848978.784804
7.5,1493,0.0120798099464,0.0676490288011,0.0120798099464,0.0669792364367,5.23241795044,0.0676490288011,0.0676490288011,0.00990099009901,0,0.00990099009901,196180.792079,142,529.386138614,0.00990099009901,1,1,223767.722795,5233276.00963,577793.762294
8,1694,0.0105807722107,0.0590318772137,0.0105807722107,0.0590318772137,5.06198347107,0.0590318772137,0.0590318772137,0,0,0,199053.92,142,283.28,0,0,0,217881.18374,5392873.77111,536232.646026
8.5,1973,0.00893309680689,0.0516979219463,0.00893309680689,0.0506842372022,4.78915357324,0.0516979219463,0.0516979219463,0.0196078431373,0,0.0196078431373,194390.127451,142,280.960784314,0.0196078431373,1,1,212605.102324,5220564.0236,482497.413731
9,2448,0.00730985753676,0.0412581699346,0.00730985753676,0.0408496732026,4.41094771242,0.0412581699346,0.0412581699346,0.00990099009901,0,0.00990099009901,194687.782178,142,366.376237624,0.00990099009901,1,1,170730.351714,5221067.22252,386142.03042
