snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_phase1_success_rate_given_invoked,grand_phase2_success_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_phase1_patterns_per_failed_frame,avg_phase2_patterns_per_failed_frame,avg_info_pool_per_failed_frame,avg_tx_parity_pool_per_failed_frame,avg_punctured_info_pool_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
10.5,6200,0.00499621975806,0.0243548387097,0.00499621975806,0.0241935483871,5.13,0.0243548387097,0.00662251655629,0,0.00662251655629,0,0.00662251655629,1118.31125828,922.19205298,196.119205298,15.6092715232,11.8278145695,9.4701986755,27.2362903226,115581.104555,1292.11056523,116873.21512
11,6994,0.00416163072812,0.0214469545325,0.00416163072812,0.0214469545325,4.89719759794,0.0214469545325,0,0,0,0,0,1109.96666667,913.033333333,196.933333333,15.5266666667,11.9,9.26,23.8054046325,97214.8614199,1112.32253152,98327.1839514
11.5,11237,0.00258953749333,0.0136157337368,0.00258953749333,0.0133487585655,4.59873631752,0.0136157337368,0.0196078431373,0,0.0196078431373,0,0.0196078431373,1067.58169935,876.784313725,190.797385621,14.9607843137,11.5816993464,9.11764705882,14.5359081605,82466.7739482,687.59169993,83154.3656481
12,14637,0.00185878467241,0.0103163216506,0.00185878467241,0.0102480016397,4.41729862677,0.0103163216506,0.00662251655629,0,0.00662251655629,0,0.00662251655629,1101.73509934,905.986754967,195.748344371,15.3907284768,11.8675496689,9.08609271523,11.3658536585,62208.1541142,528.997951421,62737.1520657
12.5,17476,0.001583812711,0.008640421149,0.001583812711,0.00858319981689,4.25469214923,0.008640421149,0.00662251655629,0,0.00662251655629,0,0.00662251655629,1097.13245033,902.947019868,194.185430464,15.4503311258,11.7880794702,9.01324503311,9.4796864271,62358.5105752,442.416818052,62800.9273933
