snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_4,snapshot_success_at_8,snapshot_success_at_12,snapshot_success_at_15
9.0,ldpc15,1258,0.022411154410588798,0.09538950715421304,0.022411154410588798,0.09538950715421304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairroi15,1425,0.021662254749299285,0.08421052631578947,0.02230574587355964,0.09543859649122807,0.09543859649122807,0.11764705882352941,0.11764705882352941,1263.9485294117646,2024.75,1325.2720588235295,2000.75,5135.632352941177,5408.0,730.2720588235294,1067.75,0.03977622120531604,0.09531250037252903,2.0,8.0,0.0,0.0,1.0,distilled_tree_roi,0.0,0.0,1.0,0.0,0.0,3.764705882352941,1.0,0.6000000238418579,-0.06025574766852729,0.0,0.0,1.0,0.0,0.0,3.764705882352941,1.0,0.6000000238418579,-0.06025574766852729,0.0,0.11764705882352941,0.0,0.0
9.5,ldpc15,1586,0.016874258489594604,0.07566204287515763,0.016874258489594604,0.07566204287515763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairroi15,1779,0.016226559199869615,0.06745362563237774,0.01648454104593033,0.07476110174255199,0.07476110174255199,0.09774436090225563,0.09774436090225563,1192.4436090225563,2001.9999999999998,1278.7218045112782,2024.4,5032.984962406015,5408.0,698.8947368421053,1063.0,0.061028292374615385,0.17692308127880074,2.0,8.0,0.0,0.0,1.0,distilled_tree_roi,0.0,0.0,1.0,0.0,0.0,3.8045112781954886,1.0,0.6000000238418579,-0.06624141782242104,0.0,0.0,1.0,0.0,0.0,3.8045112781954886,1.0,0.6000000238418579,-0.06624141782242104,0.0,0.09774436090225563,0.0,0.0
10.0,ldpc15,1944,0.0143828416063993,0.06172839506172839,0.0143828416063993,0.06172839506172839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairroi15,2179,0.013590594458670852,0.05507113354749885,0.013821415284683544,0.06149609912804038,0.06149609912804038,0.1044776119402985,0.1044776119402985,1215.4626865671642,2011.7,1299.5,2023.4,5077.873134328358,5408.0,706.9701492537314,1066.0,0.05565520601152484,0.13512821197509764,2.0,8.0,0.0,0.0,1.0,distilled_tree_roi,0.0,0.0,1.0,0.0,0.0,3.791044776119403,1.0,0.6000000238418579,-0.06681504748316842,0.0,0.0,1.0,0.0,0.0,3.791044776119403,1.0,0.6000000238418579,-0.06681504748316842,0.0,0.1044776119402985,0.0,0.0
10.5,ldpc15,2418,0.011822542714649987,0.04962779156327544,0.011822542714649987,0.04962779156327544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairroi15,2652,0.011771776018099547,0.04524886877828054,0.012150035253063447,0.05015082956259427,0.05015082956259427,0.09774436090225563,0.09774436090225563,1310.1954887218046,2004.6,1387.563909774436,2026.6,5188.93984962406,5408.0,752.1654135338346,1059.0,0.042030240633153824,0.09434523880481718,2.0,8.0,0.0,0.0,1.0,distilled_tree_roi,0.0,0.0,1.0,0.0,0.0,3.8045112781954886,1.0,0.6000000238418579,-0.06780671135039258,0.0,0.0,1.0,0.0,0.0,3.8045112781954886,1.0,0.6000000238418579,-0.06780671135039258,0.0,0.09774436090225563,0.0,0.0
11.0,ldpc15,3527,0.006276234642982369,0.03402324922030054,0.006276234642982369,0.03402324922030054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairroi15,4058,0.006547899393702555,0.02957121734844751,0.006640036045389194,0.03499260719566289,0.03499260719566289,0.15492957746478872,0.15492957746478872,1026.1971830985915,1899.95,1120.6971830985915,2009.6,4882.260563380281,5408.0,604.1338028169014,1042.85,0.08053801150362887,0.49166666716337015,2.0,8.0,0.0,0.0,1.0,distilled_tree_roi,0.0,0.0,1.0,0.0,0.0,3.6901408450704225,1.0,0.6000000238418579,-0.07236385597309596,0.0,0.0,1.0,0.0,0.0,3.6901408450704225,1.0,0.6000000238418579,-0.07236385597309596,0.0,0.15492957746478872,0.0,0.0
