snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_zero_synd_candidates_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7,498,0.0208627478665,0.206827309237,0.0208627478665,0.200803212851,4.95180722892,0.206827309237,0.206827309237,0.0291262135922,0,0.0291262135922,185484.553398,142,675.776699029,0.0291262135922,1.66666666667,1.66666666667,189410.382765,4500945.38234,1120328.80522
7.5,706,0.0175020471848,0.145892351275,0.0175020471848,0.14164305949,4.63739376771,0.145892351275,0.145892351275,0.0291262135922,0,0.0291262135922,187190.087379,142,591.86407767,0.0291262135922,2.33333333333,2,130743.3837,4588176.1099,800123.184437
8,864,0.0137193467882,0.119212962963,0.0137193467882,0.115740740741,4.42708333333,0.119212962963,0.119212962963,0.0291262135922,0,0.0291262135922,191381.126214,142,629.466019417,0.0291262135922,2,2,102936.308034,4681798.38569,661067.365587
8.5,973,0.010525396647,0.102774922919,0.010525396647,0.102774922919,4.24563206578,0.102774922919,0.102774922919,0,0,0,193278.2,142,621.3,0,0,0,161253.511236,4601842.92838,634207.563485
9,1356,0.00705199115044,0.0774336283186,0.00705199115044,0.0737463126844,4.10324483776,0.0774336283186,0.0774336283186,0.047619047619,0,0.047619047619,182349.2,142,982.533333333,0.047619047619,2.6,2.6,113749.955612,4304984.97336,447100.561956
