snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_candidate_pool_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_zero_synd_candidates_per_invoked,avg_predicted_error_mass_per_invoked,avg_block_score_peak_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_first_success_cost_given_rescue,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7.5,1478,0.014022723909,0.0683355886333,0.014022723909,0.0676589986468,6.07713125846,0.0683355886333,0.0683355886333,0.00990099009901,0,0.00990099009901,198019.811881,96,96,197863.910891,0.00990099009901,40.291387041,1.24259178886,1,1,0.0400053188205,21497.8787668,498894.579065,55590.1334932
8,1716,0.0110102300044,0.0582750582751,0.0110102300044,0.0582750582751,5.73717948718,0.0582750582751,0.0582750582751,0,0,0,200000,96,96,199824.02,0,39.6804921687,1.24917019308,0,0,0,28897.6585107,497341.426024,57880.2590948
8.5,1849,0.0110173573553,0.0540832882639,0.0110173573553,0.0540832882639,5.45862628448,0.0540832882639,0.0540832882639,0,0,0,200000,96,96,199878.48,0,41.3655818367,1.25560445845,0,0,0,37612.5072647,499371.857438,64620.1793814
9,3282,0.00615841379113,0.0304692260817,0.00615841379113,0.0304692260817,4.74741011578,0.0304692260817,0.0304692260817,0,0,0,200000,96,96,199781.93,0,40.1064272559,1.25085642815,0,0,0,20785.1290272,493327.228816,35816.4278942
9.5,4664,0.0042293280312,0.0214408233276,0.0042293280312,0.0214408233276,4.37006861063,0.0214408233276,0.0214408233276,0,0,0,200000,96,96,199865.22,0,40.6159214449,1.25621294379,0,0,0,15580.2713683,497214.150378,26240.9521225
