snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,probe_invocation_rate,probe_success_rate_if_invoked,probe_escalation_rate_if_invoked,probe_syndrome_drop_mean_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_4,snapshot_success_at_8
9.5,ldpc15,2139,0.014972537352243902,0.056100981767180924,0.014972537352243902,0.056100981767180924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairshadow15,2139,0.014972537352243902,0.056100981767180924,0.014972537352243902,0.056100981767180924,0.056100981767180924,0.0,0.0,1443.3166666666666,2138.25,1492.2583333333334,2055.75,5237.666666666667,5408.0,850.225,1152.15,0.01274721990339458,0.049221312440931794,1.0916666666666666,nan,0.0,0.0,1.0,0.0,0.016666666666666666,0.09972724576170246,1.0,probe_moe_roi_fix,0.0,0.9833333333333333,0.016666666666666666,0.0,0.0,1.0916666666666666,0.016666666666666666,0.7462497308850289,-0.02417313552480967,0.0,0.9833333333333333,0.016666666666666666,0.0,0.0,1.0916666666666666,0.016666666666666666,0.7462497308850289,-0.02417313552480967,0.0,0.0
10.0,ldpc15,2399,0.013296729283157923,0.0500208420175073,0.013296729283157923,0.0500208420175073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairshadow15,2399,0.013296729283157923,0.0500208420175073,0.013296729283157923,0.0500208420175073,0.0500208420175073,0.0,0.0,1437.575,2142.2,1502.6416666666667,2061.5,5326.1,5408.0,856.15,1148.2,0.01084578912317132,0.031754476577043535,1.0833333333333333,nan,0.0,0.0,1.0,0.0,0.7166666666666667,0.09755505910143256,1.0,probe_moe_roi_fix,0.0,0.2833333333333333,0.7166666666666667,0.0,0.0,1.0833333333333333,0.7166666666666667,0.7462493777275085,-0.029649382808808394,0.0,0.2833333333333333,0.7166666666666667,0.0,0.0,1.0833333333333333,0.7166666666666667,0.7462493777275085,-0.029649382808808394,0.0,0.0
10.5,ldpc15,3296,0.009642257335411042,0.03640776699029126,0.009642257335411042,0.03640776699029126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairshadow15,3296,0.009642257335411042,0.03640776699029126,0.009642257335411042,0.03640776699029126,0.03640776699029126,0.0,0.0,1432.2583333333334,2101.6,1522.4083333333333,2080.3,5274.075,5408.0,843.3916666666667,1134.2,0.012701598810963333,0.03886404428631065,1.0416666666666667,nan,0.0,0.0,1.0,0.0,0.9666666666666667,0.09939232959101597,1.0,probe_moe_roi_fix,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,1.0416666666666667,0.9666666666666667,0.7462088962395986,-0.03369879662447298,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,1.0416666666666667,0.9666666666666667,0.7462088962395986,-0.03369879662447298,0.0,0.0
11.0,ldpc15,3954,0.00831090454427095,0.030349013657056147,0.00831090454427095,0.030349013657056147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairshadow15,3954,0.00831090454427095,0.030349013657056147,0.00831090454427095,0.030349013657056147,0.030349013657056147,0.0,0.0,1480.95,2141.2,1557.4,2074.45,5215.216666666666,5408.0,875.175,1156.15,0.01585457067315777,0.0772435925900936,1.05,nan,0.0,0.0,1.0,0.0,0.9583333333333334,0.09690230631579956,1.0,probe_moe_roi_fix,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,1.05,0.9583333333333334,0.7462567562858263,-0.03186591307506508,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,1.05,0.9583333333333334,0.7462567562858263,-0.03186591307506508,0.0,0.0
11.5,ldpc15,5018,0.005933041936602197,0.023913909924272617,0.005933041936602197,0.023913909924272617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.5,hybairshadow15,5018,0.005933041936602197,0.023913909924272617,0.005933041936602197,0.023913909924272617,0.023913909924272617,0.0,0.0,1341.725,2057.8,1411.0583333333334,2058.3,5098.791666666667,5408.0,797.2666666666667,1142.6,0.033038152936690796,0.10000000149011612,1.1,nan,0.0,0.0,1.0,0.0,0.9333333333333333,0.09931356276695927,1.0,probe_moe_roi_fix,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,1.1,0.9333333333333333,0.7462908700108528,-0.03508643835230032,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,1.1,0.9333333333333333,0.7462908700108528,-0.03508643835230032,0.0,0.0
12.0,ldpc15,6415,0.005139437201086581,0.018706157443491817,0.005139437201086581,0.018706157443491817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.0,hybairshadow15,6415,0.005139437201086581,0.018706157443491817,0.005139437201086581,0.018706157443491817,0.018706157443491817,0.0,0.0,1485.825,2110.6,1559.6166666666666,2039.5,5263.958333333333,5408.0,873.4083333333333,1129.2,0.013062389551972349,0.048973040655255304,1.0416666666666667,nan,0.0,0.0,1.0,0.0,0.9833333333333333,0.08982094700137774,1.0,probe_moe_roi_fix,0.0,0.016666666666666666,0.9833333333333333,0.0,0.0,1.0416666666666667,0.9833333333333333,0.7462552944819133,-0.03630326764929729,0.0,0.016666666666666666,0.9833333333333333,0.0,0.0,1.0416666666666667,0.9833333333333333,0.7462552944819133,-0.03630326764929729,0.0,0.0
12.5,ldpc15,8315,0.003850334641536825,0.014431749849669273,0.003850334641536825,0.014431749849669273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.5,hybairshadow15,8315,0.003850334641536825,0.014431749849669273,0.003850334641536825,0.014431749849669273,0.014431749849669273,0.0,0.0,1442.8333333333333,2048.05,1517.6083333333333,2068.4,5183.741666666667,5408.0,847.8916666666667,1113.05,0.028334671701304614,0.06690476536750792,1.0333333333333334,nan,0.0,0.0,1.0,0.0,0.975,0.09551137414140005,1.0,probe_moe_roi_fix,0.0,0.025,0.975,0.0,0.0,1.0333333333333334,0.975,0.7462505141894022,-0.040187920491249925,0.0,0.025,0.975,0.0,0.0,1.0333333333333334,0.975,0.7462505141894022,-0.040187920491249925,0.0,0.0
