snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
11,6652,0.00415171189116,0.0214972940469,0.00415156508381,0.0210463018641,4.93295249549,0.0214972940469,0.020979020979,31.3496503497,0.673932651834,224301.16626,105.398911326,224406.565171
11.5,8239,0.00294462218564,0.0171137273941,0.00294462218564,0.016992353441,4.70445442408,0.0171137273941,0.00709219858156,32.2482269504,0.551887364971,193353.504224,77.7020375191,193431.206262
12,11680,0.00222878652076,0.0119863013699,0.00222878652076,0.0119863013699,4.43202054795,0.0119863013699,0,32.6857142857,0.391780821918,3890.85272957,55.7396168504,3946.59234642
12.5,16083,0.00171036575888,0.0087048436237,0.00171036575888,0.0087048436237,4.27880370578,0.0087048436237,0,32,0.278554995958,3877.46668069,40.7904686726,3918.25714936
13,19467,0.0013478839992,0.00719165767709,0.0013478839992,0.00719165767709,4.13915857605,0.00719165767709,0,33.6142857143,0.241742435917,4229.99638971,33.7718126402,4263.76820235
