snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_candidate_pool_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_queue_dropped_per_invoked,avg_zero_synd_candidates_per_invoked,avg_predicted_error_mass_per_invoked,avg_block_score_peak_per_invoked,avg_max_free_dim_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_first_success_cost_given_rescue,grand_cap_hit_rate_given_invoked,r1_info_success_rate_given_invoked,r2_mixed_success_rate_given_invoked,r3_prefix_direct_success_rate_given_invoked,r3_prefix_exact_success_rate_given_invoked,r4_global_success_rate_given_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
6,403,0.0372644618486,0.253101736973,0.0372596153846,0.248138957816,5.10669975186,0.253101736973,0.253101736973,0.0196078431373,0.0196078431373,0,0.0196078431373,138.264705882,138.264705882,0,0,0.0196078431373,774.869974772,1.23178162762,0,23,1,14.451296118,0,0,0.00980392156863,0,0.00980392156863,0,19115.8732566,271573.822076,87851.6793402
6.5,464,0.0293179216056,0.219827586207,0.029315816945,0.215517241379,4.7650862069,0.219827586207,0.219827586207,0.0196078431373,0.00980392156863,0.00980392156863,0.00980392156863,138.578431373,138.578431373,0,0,0.0196078431373,763.196863511,1.21899728331,0,10,0.5,5.93512547493,0,0,0,0.00980392156863,0.00980392156863,0,18097.1954562,267815.821763,76970.5011024
7,630,0.0224376860119,0.160317460317,0.0224361359127,0.15873015873,4.6,0.160317460317,0.160317460317,0.00990099009901,0.00990099009901,0,0.00990099009901,136.554455446,136.554455446,0,0,0.00990099009901,774.350298891,1.23653785427,0,7,1,4.31858059571,0,0.00990099009901,0,0,0,0,16323.4212203,259283.3876,57891.0754229
7.5,737,0.0182870272218,0.137042062415,0.0182870272218,0.135685210312,4.37177747626,0.137042062415,0.137042062415,0.00990099009901,0,0.00990099009901,0,137.524752475,137.524752475,0,0,0.00990099009901,764.395000798,1.22691806472,0,1,0,0,0,0,0,0.00990099009901,0,0,15772.1816708,249593.570374,49976.9993205
8,736,0.0195723823879,0.138586956522,0.0195697286855,0.135869565217,4.21195652174,0.138586956522,0.138586956522,0.0196078431373,0.0196078431373,0,0.0196078431373,138.176470588,138.176470588,0,0,0.0196078431373,770.663486855,1.23191587072,0,20,1,12.7047049246,0,0,0.0196078431373,0,0,0,23218.7665043,277342.465163,61654.8146655
