snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_phase1_success_rate_given_invoked,grand_phase2_success_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_phase1_patterns_per_failed_frame,avg_phase2_patterns_per_failed_frame,avg_info_pool_per_failed_frame,avg_tx_parity_pool_per_failed_frame,avg_latent_pool_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
10,3628,0.00681305772809,0.042447629548,0.00681305772809,0.0413450937155,5.05237045204,0.042447629548,0.025974025974,0,0.025974025974,0,0.025974025974,655.850649351,523.357142857,132.493506494,12.5714285714,11.1688311688,9.66883116883,27.8393054024,36456.2628294,1055.31791567,37511.5807451
10.5,4379,0.00534154487326,0.0351678465403,0.00534154487326,0.0342543959808,4.82050696506,0.0351678465403,0.025974025974,0,0.025974025974,0,0.025974025974,667.214285714,535.266233766,131.948051948,12.2597402597,11.038961039,9.61688311688,23.4644896095,13062.6835203,867.872611331,13930.5561316
11,6194,0.00402481231837,0.0243784307394,0.00402465465572,0.0242169841782,4.57523409751,0.0243784307394,0.00662251655629,0.00662251655629,0,0.00662251655629,0,674.291390728,538.516556291,135.774834437,12.6754966887,11.4569536424,9.88741721854,16.4381659671,5148.55431742,614.167195054,5762.72151247
11.5,8052,0.00297359157663,0.0191256830601,0.00297359157663,0.0186289120715,4.4607550919,0.0191256830601,0.025974025974,0,0.025974025974,0,0.025974025974,656.974025974,523.850649351,133.123376623,12.2727272727,11.0844155844,9.67532467532,12.5650769995,9577.76895178,466.726238913,10044.4951907
12,10022,0.00223268574761,0.0150668529236,0.00223268574761,0.0149670724406,4.2696068649,0.0150668529236,0.00662251655629,0,0.00662251655629,0,0.00662251655629,664.033112583,529.390728477,134.642384106,12.357615894,11.2516556291,9.78145695364,10.0048892437,6711.18604362,369.83176879,7081.01781241
