snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_phase1_success_rate_given_invoked,grand_phase2_success_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_phase1_patterns_per_failed_frame,avg_phase2_patterns_per_failed_frame,avg_info_pool_per_failed_frame,avg_tx_parity_pool_per_failed_frame,avg_punctured_info_pool_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
10,1966,0.00632083306841,0.0773143438454,0.00632083306841,0.0762970498474,4.54577822991,0.0773143438454,0.0131578947368,0,0.0131578947368,0,0.0131578947368,728.197368421,592.375,135.822368421,9.92105263158,9.53947368421,4.52631578947,56.3001017294,50254.8021128,2298.57942592,52553.3815387
10.5,2511,0.00516127476603,0.0613301473517,0.00516127476603,0.0597371565114,4.45360414178,0.0613301473517,0.025974025974,0,0.025974025974,0,0.025974025974,721.168831169,585.571428571,135.597402597,10.0974025974,9.25974025974,4.80519480519,44.229390681,14822.3610717,1878.65143185,16701.0125035
11,2394,0.00568927200815,0.0634920634921,0.00568927200815,0.062656641604,4.39515455305,0.0634920634921,0.0131578947368,0,0.0131578947368,0,0.0131578947368,745.855263158,602.842105263,143.013157895,10.3289473684,9.73684210526,4.85526315789,47.3558897243,20294.343719,1991.84212302,22286.1858421
11.5,3282,0.00360929406612,0.0466179159049,0.00360929406612,0.0457038391225,4.21602681292,0.0466179159049,0.0196078431373,0,0.0196078431373,0,0.0196078431373,708.705882353,575.60130719,133.104575163,9.83660130719,9.00653594771,5.08496732026,33.0383912249,17192.1963377,1443.81734674,18636.0136844
12,3616,0.00329562837044,0.0417588495575,0.00329562837044,0.041482300885,4.11587389381,0.0417588495575,0.00662251655629,0,0.00662251655629,0,0.00662251655629,725.529801325,592.397350993,133.132450331,9.82781456954,9.27814569536,4.47682119205,30.297289823,15184.2464874,1234.29063877,16418.5371262
