snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,gate_positive_rate_given_failed,avg_gate_prob_given_failed,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_info_round_success_rate_given_invoked,grand_parity_round_success_rate_given_invoked,avg_solver_candidates_per_invoked,avg_candidate_pool_per_invoked,avg_max_free_dim_per_invoked,avg_info_pool_per_invoked,avg_tx_parity_pool_per_invoked,avg_punctured_info_pool_per_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
9,3616,0.00690642500346,0.033185840708,0.00690642500346,0.033185840708,4.85647123894,0.033185840708,0.000553097345133,0.0166666666667,0.294722390672,0,0,0,0,0,0,2,0,0,1,0,3803.15351626,0.049346800125,3803.20286306
9.5,5974,0.00403915011927,0.0205892199531,0.00403915011927,0.0200870438567,4.39069300301,0.0205892199531,0.000502176096418,0.0243902439024,0.314863034986,1,0,1,0,1,1,2.66666666667,0,0,1.33333333333,0,3728.83150948,0.104483258002,3728.93599274
10,5684,0.00407032761919,0.0211118930331,0.00407032761919,0.0211118930331,4.26812104152,0.0211118930331,0.000703729767769,0.0333333333333,0.315169962247,0,0,0,0,0,0,7.5,0,0.5,3,0,3719.1175335,0.112098349222,3719.22963185
10.5,9496,0.00255329546651,0.0126368997473,0.00255329546651,0.0126368997473,3.91807076664,0.0126368997473,0,0,0.298693466683,0,0,0,0,0,0,0,0,0,0,0,3630.51263297,0,3630.51263297
11,13138,0.00171808993949,0.00913381032121,0.00171808993949,0.00913381032121,3.66136398234,0.00913381032121,0.00015223017202,0.0166666666667,0.317468259856,0,0,0,0,0,0,1,0,0,0.5,0,3640.19075633,0.0104047899618,3640.20116112
