snr_db,decoder,n_frames,ber,fer,ber_stage1,fer_stage1,stage2_invocation_rate,stage2_improve_rate_if_invoked,stage2_true_fix_rate_if_invoked,avg_stage1_bit_errors_if_invoked,p95_stage1_bit_errors_if_invoked,avg_stage1_syndrome_weight_if_invoked,p95_stage1_syndrome_weight_if_invoked,avg_stage1_error_span_if_invoked,p95_stage1_error_span_if_invoked,avg_stage1_error_runs_if_invoked,p95_stage1_error_runs_if_invoked,avg_stage1_block_concentration_if_invoked,p95_stage1_block_concentration_if_invoked,avg_snapshot_attempts_if_invoked,avg_snapshot_success_iter_if_fixed,primary_success_rate_if_invoked,fallback_success_rate_if_invoked,probe_invocation_rate,probe_success_rate_if_invoked,probe_escalation_rate_if_invoked,probe_syndrome_drop_mean_if_invoked,ai_gate_enabled,ai_gate_policy_mode,ai_gate_skip_rate,ai_gate_tiny_rate,ai_gate_full_rate,ai_gate_meta_rate,ai_gate_first_skip_rate,ai_gate_decision_count_mean_if_invoked,ai_gate_escalation_rate_if_invoked,ai_gate_confidence_mean_if_invoked,ai_gate_promise_mean_if_invoked,ai_gate_skip_rate_if_failed,ai_gate_tiny_rate_if_failed,ai_gate_full_rate_if_failed,ai_gate_meta_rate_if_failed,ai_gate_first_skip_rate_if_failed,ai_gate_decision_count_mean_if_failed,ai_gate_escalation_rate_if_failed,ai_gate_confidence_mean_if_failed,ai_gate_promise_mean_if_failed,snapshot_success_at_4
9.0,ldpc15,1258,0.022411154410588798,0.09538950715421304,0.022411154410588798,0.09538950715421304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.0,hybairtg15,1258,0.022411154410588798,0.09538950715421304,0.022411154410588798,0.09538950715421304,0.09538950715421304,0.0,0.0,1270.575,2016.1499999999999,1336.5333333333333,1999.35,5158.5,5408.0,736.4333333333333,1064.15,0.03413391065939019,0.09406250007450578,1.0,nan,0.0,0.0,1.0,0.0,0.0,0.15413375453402597,1.0,probe_moe_roi_fix,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7463906635840734,-0.056286483777997394,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7463906635840734,-0.056286483777997394,0.0
9.5,ldpc15,1586,0.016874258489594604,0.07566204287515763,0.016874258489594604,0.07566204287515763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,hybairtg15,1750,0.015925824175824176,0.06857142857142857,0.016361686390532544,0.07371428571428572,0.07371428571428572,0.06976744186046512,0.06976744186046512,1200.3643410852712,2005.0,1286.4883720930231,2024.6,5037.666666666667,5408.0,703.4031007751938,1065.0,0.05832843670924736,0.1666666716337204,1.0,4.0,0.0,0.0,1.0,0.0,0.5271317829457365,0.17999957712699277,1.0,probe_moe_roi_fix,0.0,0.4728682170542636,0.5271317829457365,0.0,0.0,1.0,0.5271317829457365,0.7464472138604452,-0.06006222335231859,0.0,0.4728682170542636,0.5271317829457365,0.0,0.0,1.0,0.5271317829457365,0.7464472138604452,-0.06006222335231859,0.06976744186046512
10.0,ldpc15,1944,0.0143828416063993,0.06172839506172839,0.0143828416063993,0.06172839506172839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,hybairtg15,2499,0.01282783823588607,0.04801920768307323,0.013570146993708726,0.06082432973189276,0.06082432973189276,0.21052631578947367,0.21052631578947367,1206.546052631579,2010.45,1289.8157894736842,2039.9,5057.236842105263,5408.0,700.1907894736842,1066.0,0.05350194395348234,0.13564103245735162,1.0,4.0,0.0,0.0,1.0,0.0,0.9407894736842105,0.18118724655850152,1.0,probe_moe_roi_fix,0.0,0.05921052631578947,0.9407894736842105,0.0,0.0,1.0,0.9407894736842105,0.7464276128693631,-0.061890933319534124,0.0,0.05921052631578947,0.9407894736842105,0.0,0.0,1.0,0.9407894736842105,0.7464276128693631,-0.061890933319534124,0.21052631578947367
10.5,ldpc15,2418,0.011822542714649987,0.04962779156327544,0.011822542714649987,0.04962779156327544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.5,hybairtg15,2767,0.011630696629549872,0.04336826888326708,0.01199924939534625,0.05023491145645103,0.05023491145645103,0.1366906474820144,0.1366906474820144,1291.769784172662,1998.8999999999999,1369.7482014388488,2025.4,5185.345323741008,5408.0,742.431654676259,1057.5,0.041423108033407076,0.09389880970120429,1.0,4.0,0.0,0.0,1.0,0.0,0.9280575539568345,0.17050151076677034,1.0,probe_moe_roi_fix,0.0,0.07194244604316546,0.9280575539568345,0.0,0.0,1.0,0.9280575539568345,0.7463984082071043,-0.06276270467117964,0.0,0.07194244604316546,0.9280575539568345,0.0,0.0,1.0,0.9280575539568345,0.7463984082071043,-0.06276270467117964,0.1366906474820144
11.0,ldpc15,3527,0.006276234642982369,0.03402324922030054,0.006276234642982369,0.03402324922030054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,none,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.0,hybairtg15,4402,0.006402961335487635,0.027260336210813266,0.006557796146990744,0.034302589731940024,0.034302589731940024,0.2052980132450331,0.2052980132450331,1033.8741721854306,1899.5,1132.7880794701987,2006.0,4902.443708609271,5408.0,609.5430463576159,1043.5,0.07796494176130224,0.4166666716337204,1.0,4.0,0.0,0.0,1.0,0.0,0.9602649006622517,0.23723968969571668,1.0,probe_moe_roi_fix,0.0,0.039735099337748346,0.9602649006622517,0.0,0.0,1.0,0.9602649006622517,0.746568753624594,-0.06631402893374298,0.0,0.039735099337748346,0.9602649006622517,0.0,0.0,1.0,0.9602649006622517,0.746568753624594,-0.06631402893374298,0.2052980132450331
