snr_db,decoder,ber,fer,avg_iters,avg_hw_time_us,avg_hw_cycles,avg_hw_time_stage1_us,avg_hw_time_grand_us,ber_stage1,fer_stage1
9.0,ldpc15,0.022411154410588798,0.09538950715421304,6.598569157392687,11.49504073926868,9196.032591414943,11.49504073926868,0.0,0.022411154410588798,0.09538950715421304
9.0,hybairtg15,0.022411154410588798,0.09538950715421304,6.598569157392687,26.34551967408585,21076.41573926868,11.49504073926868,14.85047893481717,0.022411154410588798,0.09538950715421304
9.5,ldpc15,0.016874258489594604,0.07566204287515763,6.310214375788147,10.986469104665826,8789.17528373266,10.986469104665826,0.0,0.016874258489594604,0.07566204287515763
9.5,hybairtg15,0.015925824175824176,0.06857142857142857,6.276,94.88120428571429,75904.96342857143,10.926282857142859,83.95492142857144,0.016361686390532544,0.07371428571428572
10.0,ldpc15,0.0143828416063993,0.06172839506172839,5.978395061728395,10.404756944444443,8323.805555555555,10.404756944444443,0.0,0.0143828416063993,0.06172839506172839
10.0,hybairtg15,0.01282783823588607,0.04801920768307323,5.955182072829132,116.69274659863946,93354.19727891157,10.364090636254502,106.32865596238494,0.013570146993708726,0.06082432973189276
10.5,ldpc15,0.011822542714649987,0.04962779156327544,5.570306038047973,9.691357009925559,7753.085607940447,9.691357009925559,0.0,0.011822542714649987,0.04962779156327544
10.5,hybairtg15,0.011630696629549872,0.04336826888326708,5.5966750993856165,103.61856432959885,82894.85146367908,9.737383899530178,93.88118043006867,0.01199924939534625,0.05023491145645103
11.0,ldpc15,0.006276234642982369,0.03402324922030054,5.315282109441451,9.242310391267367,7393.848313013893,9.242310391267367,0.0,0.006276234642982369,0.03402324922030054
11.0,hybairtg15,0.006402961335487635,0.027260336210813266,5.330758746024534,70.30405753066788,56243.2460245343,9.26929378691504,61.03476374375284,0.006557796146990744,0.034302589731940024
11.5,ldpc15,0.006220703244637191,0.031055900621118012,5.194875776397516,9.032064246894409,7225.651397515528,9.032064246894409,0.0,0.006220703244637191,0.031055900621118012
11.5,hybairtg15,0.00560285335556254,0.023094688221709007,5.205735180908391,61.652540656274056,49322.03252501925,9.051045034642033,52.60149562163202,0.005917907095125518,0.03137028483448807
12.0,ldpc15,0.004178772045678007,0.02119018188239449,4.945788451350874,8.595627759138265,6876.502207310613,8.595627759138265,0.0,0.004178772045678007,0.02119018188239449
12.0,hybairtg15,0.003900351884899811,0.01582487142291969,4.942107345377819,45.768112719240406,36614.490175392326,8.589570585520242,37.178542133720164,0.00415576008152774,0.022022946063563233
12.5,ldpc15,0.0034568886001408055,0.019857686579513485,4.829720337580672,8.39356983286447,6714.855866291577,8.39356983286447,0.0,0.0034568886001408055,0.019857686579513485
12.5,hybairtg15,0.003526305901004777,0.016059957173447537,4.8339132762312635,43.49458394673447,34795.66715738758,8.401366601980728,35.09321734475375,0.0036407123081991307,0.02114561027837259
13.0,ldpc15,0.0031245805833335295,0.01591723040191007,4.6752884998010344,8.123856446478314,6499.085157182651,8.123856446478314,0.0,0.0031245805833335295,0.01591723040191007
13.0,hybairtg15,0.003099100296119248,0.015138135486312602,4.678693074303015,12.47609546486691,9980.876371893528,8.129708117825153,4.346387347041756,0.003127885520462982,0.01576889113157563
