snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,grand_phase1_success_rate_given_invoked,grand_phase2_success_rate_given_invoked,avg_grand_patterns_per_failed_frame,avg_phase1_patterns_per_failed_frame,avg_phase2_patterns_per_failed_frame,avg_info_pool_per_failed_frame,avg_tx_parity_pool_per_failed_frame,avg_latent_pool_per_failed_frame,avg_grand_patterns_per_frame,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
9.5,1356,0.0109510393621,0.114306784661,0.0109510393621,0.110619469027,4.78908554572,0.114306784661,0.0322580645161,0,0.0322580645161,0,0.0322580645161,575.851612903,445.593548387,130.258064516,9.69677419355,9.66451612903,9.43870967742,65.8237463127,34147.4149978,2297.5553607,36444.9703585
10,1968,0.00634666380843,0.0782520325203,0.00634666380843,0.0762195121951,4.54928861789,0.0782520325203,0.025974025974,0,0.025974025974,0,0.025974025974,588.331168831,455.480519481,132.850649351,8.84415584416,9.57142857143,9.61688311688,46.0381097561,22523.6197007,1486.20347832,24009.823179
10.5,2530,0.00522403038538,0.0624505928854,0.00522403038538,0.0592885375494,4.45533596838,0.0624505928854,0.0506329113924,0,0.0506329113924,0,0.0506329113924,548.620253165,422.018987342,126.601265823,8.83544303797,9.1835443038,9.33544303797,34.2616600791,18445.7107714,1158.08139163,19603.792163
11,2401,0.00567919291441,0.0637234485631,0.00567919291441,0.0624739691795,4.39525197834,0.0637234485631,0.0196078431373,0,0.0196078431373,0,0.0196078431373,579.08496732,444.594771242,134.490196078,9.18954248366,9.75163398693,9.67973856209,36.9012911287,16902.2217066,1235.59253343,18137.81424
11.5,3398,0.00371369647587,0.046792230724,0.00371369647587,0.0441436138905,4.22748675692,0.046792230724,0.0566037735849,0,0.0566037735849,0,0.0566037735849,523.528301887,395.062893082,128.465408805,8.71698113208,9.05031446541,9.2893081761,24.4970570924,14624.9471414,842.354671744,15467.3018132
