snr_db,frames,ldpc_ber,ldpc_fer,hyb_ber,hyb_fer,avg_stage1_iters,failed_frame_rate,grand_invocation_rate,grand_rescue_rate_given_invoked,grand_info_rescue_rate_given_invoked,grand_parity_only_rescue_rate_given_invoked,avg_patterns_tested_per_invoked,avg_candidate_pool_per_invoked,avg_atoms_total_per_invoked,avg_queue_max_per_invoked,avg_queue_dropped_per_invoked,avg_zero_synd_candidates_per_invoked,avg_predicted_error_mass_per_invoked,avg_block_score_peak_per_invoked,avg_max_free_dim_per_invoked,avg_success_pattern_weight_given_rescue,avg_success_atom_count_given_rescue,avg_first_success_cost_given_rescue,grand_cap_hit_rate_given_invoked,r1_info_success_rate_given_invoked,r2_mixed_success_rate_given_invoked,r3_prefix_direct_success_rate_given_invoked,r3_prefix_exact_success_rate_given_invoked,r4_global_success_rate_given_invoked,avg_stage1_decoder_us,avg_grand_decoder_us,avg_total_hybrid_decoder_us
7,1004,0.0226856246887,0.0996015936255,0.0226856246887,0.0996015936255,6.75298804781,0.0996015936255,0.0996015936255,0,0,0,0,136.5,136.5,0,0,0,866.415492554,1.29313164711,0,0,0,0,0,0,0,0,0,0,34616.3614192,375504.360078,72017.1940963
7.5,1445,0.0157736807958,0.0698961937716,0.015773004974,0.0692041522491,5.89896193772,0.0698961937716,0.0698961937716,0.00990099009901,0.00990099009901,0,0.00990099009901,136.326732673,136.326732673,0,0,0.00990099009901,866.81819742,1.2885394958,0,14,1,9.01111138245,0,0,0.00990099009901,0,0,0,13474.9282029,291706.74049,33864.1190607
8,1380,0.015285326087,0.0724637681159,0.015285326087,0.0724637681159,5.7731884058,0.0724637681159,0.0724637681159,0,0,0,0,136.37,136.37,0,0,0,845.803991699,1.28859263897,0,0,0,0,0,0,0,0,0,0,27213.7606793,355735.469558,52991.693256
8.5,1911,0.0112036401099,0.0523286237572,0.0112036401099,0.0523286237572,5.18001046572,0.0523286237572,0.0523286237572,0,0,0,0,136.08,136.08,0,0,0,853.147650757,1.28614204288,0,0,0,0,0,0,0,0,0,0,24533.4712383,328858.607989,41742.1896051
9,2492,0.00906651284109,0.0401284109149,0.00906651284109,0.0401284109149,4.76203852327,0.0401284109149,0.0401284109149,0,0,0,0,135.51,135.51,0,0,0,868.267891235,1.29793818474,0,0,0,0,0,0,0,0,0,0,11221.9842189,278936.586499,22415.2661811
